,city,latitude,longitude,temp,cloudiness,wind speed,humidity
0,Rome,34.26,-85.16,80.888,1,2.6,37
1,Paris,48.85,2.35,59.288,23,1.5,87
2,London,51.51,-0.13,58.496,0,3.1,87
3,Miami,25.77,-80.19,81.968,75,5.7,69
4,Sur,22.57,59.53,87.08000000000001,99,2.34,51
5,airai,-8.93,125.41,69.72800000000001,0,2.71,57
6,victoria,22.29,114.16,81.95,86,7.15,78
7,faanui,-16.48,-151.75,80.852,10,3.8,76
8,jiayuguan,39.82,98.3,71.006,97,2.35,23
9,kodiak,57.79,-152.41,62.6,40,5.1,48
10,kruisfontein,-34.0,24.73,50.666,99,2.07,63
11,ushuaia,-54.8,-68.3,32.0,20,2.6,91
12,kharp,66.8,65.81,44.384,100,5.65,66
13,busselton,-33.65,115.33,56.012,68,5.71,85
14,yellowknife,62.46,-114.35,68.0,75,8.7,34
15,mata,40.68,-7.46,44.006,100,1.03,91
16,tuktoyaktuk,69.45,-133.04,60.8,75,6.7,59
17,stornoway,58.21,-6.39,55.652,0,1.0,93
18,arraial do cabo,-22.97,-42.03,74.894,0,2.08,83
19,guerrero negro,27.98,-114.06,68.774,0,10.35,65
20,pavlovsk,50.46,40.11,68.324,99,5.14,84
21,saldanha,-33.01,17.94,44.6,0,1.5,81
22,bluff,-46.6,168.33,44.96,0,3.54,65
23,makakilo city,21.35,-158.09,84.11,20,5.7,45
24,lere,10.39,8.57,71.024,2,2.55,88
25,cape town,-33.93,18.42,49.766,40,3.6,81
26,astana,51.18,71.45,57.2,75,7.0,76
27,grindavik,63.84,-22.43,46.4,90,4.1,81
28,amstetten,48.12,14.87,63.373999999999995,5,1.0,82
29,Newark,40.74,-74.17,67.946,20,6.2,30
30,Chicago,41.85,-87.65,56.55200000000001,75,7.7,55
31,Florence,43.77,11.25,57.578,40,2.1,100
32,Nice,44.0,7.25,58.856,9,2.1,82
33,Toronto,43.7,-79.42,57.992000000000004,1,1.5,54
34,Accra,5.56,-0.2,77.0,89,2.6,94
35,Boke,10.94,-14.3,78.404,100,1.65,88
36,Cape Town,-33.93,18.42,49.766,40,3.6,81
37,Buenos Aires,-34.61,-58.38,44.672,0,2.6,31
38,Lima,-12.04,-77.03,64.4,90,3.6,77
39,Cartagena,10.4,-75.51,81.86,71,2.51,78
40,Mumbai,19.01,72.85,80.6,75,2.1,94
41,Kabul,34.5,69.42,57.2,0,1.0,76
42,Karachi,24.91,67.08,86.0,40,5.1,70
43,Hanoi,21.02,105.84,86.0,40,2.6,79
44,Kuala Lumpur,3.14,101.69,79.78999999999999,20,1.2,94
45,Jakarta,-6.21,106.85,83.19200000000001,20,2.1,78
46,Manila,14.6,120.98,88.628,75,3.1,70
47,Wellington,-41.29,174.78,51.620000000000005,0,1.5,62
48,Sydney,-33.87,151.21,63.733999999999995,20,3.6,82
49,Melbourne,28.08,-80.61,79.80799999999999,40,3.6,74
50,Auckland,-36.87,174.77,59.936,100,4.6,67
51,Suva,-18.14,178.44,76.334,100,8.57,67
52,Anchorage,61.22,-149.9,67.154,20,3.6,35
53,Moscow,55.75,37.62,53.204,100,4.0,76
54,Helsinki,60.17,24.94,49.208,0,1.0,87
55,Tallinn,59.44,24.75,51.8,0,2.1,66
